deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0287,2015-06-09,2015,VC,Polaris Partners,Moduni OS,0.226,VC 2015,0,0
D0330,2015-06-18,2015,Series_B,Polaris Partners,Oncimm AB,0.134,Series_B 2015,0,0
D0337,2015-06-20,2015,VC,F-Prime Capital,Epihap AB,0.073,VC 2015,0,0
D0280,2015-06-23,2015,VC,F-Prime Capital,Synonc OS,0.522,VC 2015,0,0
D0311,2015-06-23,2015,VC,ARCH Venture Partners,Lumkym BIO,0.057,VC 2015,0,0
D0296,2015-07-16,2015,Series_C,ARCH Venture Partners,Unijas Tx,0.804,Series_C 2015,0,0
D0291,2015-08-09,2015,Series_C,Versant Ventures,Synepi Therapeutics,0.055,Series_C 2015,0,0
D0305,2015-08-18,2015,VC,F-Prime Capital,Genkym IO,0.125,VC 2015,0,0
D0333,2015-08-19,2015,M&A,Merck,Hapquo RX,0.556,M&A 2015,0,0
D0282,2015-08-22,2015,Series_B,Sofinnova Investments,Celjas Tx,1.142,Series_B 2015,0,0
D0314,2015-08-26,2015,VC,RA Capital,Jasepi ON,0.227,VC 2015,0,0
D0313,2015-09-02,2015,VC,Polaris Partners,Kympro GX,0.143,VC 2015,0,0
D0312,2015-09-02,2015,Series_B,Third Rock Ventures,Oncgen GX,0.136,Series_B 2015,0,0
D0331,2015-09-09,2015,Series_B,OrbiMed,Tavlum RX,0.143,Series_B 2015,0,0
D0306,2015-09-14,2015,IPO,Public markets,Aerhap IO,0.51,IPO 2015,0,0
D0320,2015-09-19,2015,VC,Sofinnova Investments,Biovec Tx,0.041,VC 2015,0,0
D0301,2015-09-21,2015,VC,Third Rock Ventures,Onconc Therapeutics,0.012,VC 2015,0,0
D0332,2015-09-24,2015,VC,Sofinnova Investments,Aergen Therapeutics,0.128,VC 2015,0,0
D0290,2015-09-24,2015,Series_B,F-Prime Capital,Repmod OS,0.143,Series_B 2015,0,0
D0273,2015-10-02,2015,M&A,Roche,Celquo BIO,10.045,M&A 2015,1,0
D0303,2015-10-04,2015,M&A,Roche,Denquo Tx,20.382,M&A 2015,1,0
D0298,2015-10-05,2015,M&A,Eli Lilly,Univec Tx,1.058,M&A 2015,0,0
D0336,2015-10-05,2015,Series_C,Third Rock Ventures,Denepi X,1.119,Series_C 2015,0,0
D0286,2015-10-16,2015,VC,RA Capital,Hapyot RX,0.19,VC 2015,0,0
D0342,2015-10-22,2015,Series_C,ARCH Venture Partners,Jasgen BIO,0.061,Series_C 2015,0,0
D0288,2015-10-25,2015,Series_C,Polaris Partners,Immvec IO,0.12,Series_C 2015,0,0
D0318,2015-11-07,2015,Series_B,OrbiMed,Neumod ON,0.013,Series_B 2015,0,0
D0341,2015-11-08,2015,Series_B,Flagship Pioneering,Neuzeo Tx,0.778,Series_B 2015,0,0
D0329,2015-11-12,2015,Series_B,Third Rock Ventures,Neuonc ON,0.135,Series_B 2015,0,0
D0281,2015-11-13,2015,VC,Versant Ventures,Immyot BIO,0.056,VC 2015,0,0
D0334,2015-11-22,2015,VC,RA Capital,Xenbio Therapeutics,0.051,VC 2015,0,0
D0325,2015-11-26,2015,VC,RA Capital,Prohap X,0.117,VC 2015,0,0
D0307,2015-12-07,2015,IPO,Public markets,Uniepi BIO,2.279,IPO 2015,0,0
D0321,2015-12-08,2015,VC,Flagship Pioneering,Genimm IO,0.071,VC 2015,0,0
D0326,2015-12-11,2015,M&A,Novartis,Genzeo RX,0.571,M&A 2015,0,0
D0297,2015-12-24,2015,VC,RA Capital,Zeorep GX,0.298,VC 2015,0,0
D0383,2016-01-03,2016,Series_B,ARCH Venture Partners,Projas AB,0.454,Series_B 2016,0,0
D0356,2016-01-05,2016,M&A,Roche,Syncel X,3.049,M&A 2016,0,0
D0353,2016-01-07,2016,VC,Third Rock Ventures,Onconc X,0.119,VC 2016,0,0
D0372,2016-01-22,2016,Series_B,Bain Capital Life Sciences,Yotsyn Tx,0.263,Series_B 2016,0,0
D0005,2016-01-26,2016,M&A,Shire,Baxalta,32.0,Rare disease deal,1,1
D0370,2016-02-01,2016,Series_B,Versant Ventures,Oncgen X,0.404,Series_B 2016,0,0
D0368,2016-02-02,2016,Series_B,Bain Capital Life Sciences,Jassyn IO,0.273,Series_B 2016,0,0
D0385,2016-02-09,2016,Series_B,ARCH Venture Partners,Immmod AB,0.031,Series_B 2016,0,0
D0343,2016-02-13,2016,VC,Bain Capital Life Sciences,Modkym Therapeutics,0.086,VC 2016,0,0
D0364,2016-02-18,2016,VC,RA Capital,Veconc AB,0.373,VC 2016,0,0
D0363,2016-02-19,2016,VC,Versant Ventures,Oncpro ON,0.409,VC 2016,0,0
D0346,2016-02-19,2016,Series_B,Flagship Pioneering,Gengen RX,0.805,Series_B 2016,0,0
D0403,2016-02-22,2016,M&A,AbbVie,Hapneu ON,0.154,M&A 2016,0,0
D0354,2016-03-02,2016,M&A,Gilead,Zeoneu GX,0.794,M&A 2016,0,0
D0380,2016-03-05,2016,VC,Third Rock Ventures,Quopro Tx,0.166,VC 2016,0,0
D0369,2016-03-08,2016,IPO,Public markets,Denepi AB,0.123,IPO 2016,0,0
D0365,2016-03-09,2016,Series_B,Bain Capital Life Sciences,Unizeo Therapeutics,0.122,Series_B 2016,0,0
D0345,2016-03-15,2016,VC,ARCH Venture Partners,Denzeo AB,0.024,VC 2016,0,0
D0381,2016-03-15,2016,M&A,Gilead,Unilum ON,2.798,M&A 2016,0,0
D0379,2016-03-23,2016,VC,Flagship Pioneering,Bioden ON,0.148,VC 2016,0,0
D0384,2016-03-25,2016,Series_B,Atlas Venture,Xenxen IO,0.279,Series_B 2016,0,0
D0360,2016-04-04,2016,VC,Sofinnova Investments,Quoimm Tx,0.05,VC 2016,0,0
D0402,2016-04-13,2016,VC,Polaris Partners,Repepi ON,0.696,VC 2016,0,0
D0366,2016-04-16,2016,VC,Atlas Venture,Prorep OS,0.075,VC 2016,0,0
D0391,2016-04-18,2016,Series_B,a16z Bio,Unijas GX,0.282,Series_B 2016,0,0
D0351,2016-04-27,2016,VC,Atlas Venture,Zeohap IO,0.304,VC 2016,0,0
D0400,2016-05-01,2016,VC,Sofinnova Investments,Hapquo BIO,0.648,VC 2016,0,0
D0376,2016-05-08,2016,VC,ARCH Venture Partners,Xenhap ON,0.173,VC 2016,0,0
D0375,2016-05-25,2016,VC,GV (Google Ventures),Modkym Therapeutics,0.115,VC 2016,0,0
D0392,2016-06-08,2016,Crossover,ARCH Venture Partners,Celxen Therapeutics,0.248,Crossover 2016,0,0
D0371,2016-06-14,2016,VC,Polaris Partners,Synbio X,0.126,VC 2016,0,0
D0388,2016-07-09,2016,VC,Sofinnova Investments,Zeovec AB,0.541,VC 2016,0,0
D0349,2016-07-13,2016,VC,GV (Google Ventures),Immcel Therapeutics,0.046,VC 2016,0,0
D0401,2016-07-14,2016,VC,Flagship Pioneering,Biobio GX,0.253,VC 2016,0,0
D0399,2016-07-16,2016,Series_B,F-Prime Capital,Neusyn AB,0.529,Series_B 2016,0,0
D0406,2016-07-18,2016,VC,F-Prime Capital,Repzeo X,0.033,VC 2016,0,0
D0390,2016-07-21,2016,VC,Third Rock Ventures,Lumcel ON,0.5,VC 2016,0,0
D0367,2016-07-21,2016,VC,Sofinnova Investments,Denjas AB,0.062,VC 2016,0,0
D0373,2016-08-06,2016,VC,ARCH Venture Partners,Neumod Therapeutics,0.054,VC 2016,0,0
D0382,2016-08-09,2016,VC,a16z Bio,Prozeo ON,0.06,VC 2016,0,0
D0407,2016-08-16,2016,IPO,Public markets,Vecneu Therapeutics,1.467,IPO 2016,0,0
D0396,2016-08-19,2016,Series_B,Polaris Partners,Provec RX,0.129,Series_B 2016,0,0
D0348,2016-08-22,2016,VC,Sofinnova Investments,Immkym BIO,0.027,VC 2016,0,0
D0389,2016-09-05,2016,VC,ARCH Venture Partners,Onckym OS,0.064,VC 2016,0,0
D0386,2016-09-05,2016,M&A,Sanofi,Kymaer Therapeutics,0.176,M&A 2016,0,0
D0377,2016-09-06,2016,Series_C,RA Capital,Jaspro AB,0.075,Series_C 2016,0,0
D0359,2016-09-07,2016,Series_B,Sofinnova Investments,Vecimm GX,0.295,Series_B 2016,0,0
D0361,2016-09-08,2016,Crossover,OrbiMed,Genjas GX,0.21,Crossover 2016,0,0
D0350,2016-09-08,2016,VC,Versant Ventures,Zeoyot Tx,0.074,VC 2016,0,0
D0347,2016-09-15,2016,Series_B,Polaris Partners,Celhap AB,0.111,Series_B 2016,0,0
D0405,2016-09-18,2016,VC,Third Rock Ventures,Jasbio RX,0.079,VC 2016,0,0
D0404,2016-09-22,2016,M&A,J&J,Oncimm IO,1.549,M&A 2016,0,0
D0344,2016-09-25,2016,Series_B,ARCH Venture Partners,Bioxen RX,0.107,Series_B 2016,0,0
D0398,2016-09-26,2016,VC,a16z Bio,Prolum Therapeutics,0.21,VC 2016,0,0
D0357,2016-10-11,2016,VC,Bain Capital Life Sciences,Reptav OS,0.417,VC 2016,0,0
D0387,2016-11-05,2016,Series_B,Versant Ventures,Repepi ON,0.087,Series_B 2016,0,0
D0378,2016-11-13,2016,Series_B,GV (Google Ventures),Tavgen X,0.335,Series_B 2016,0,0
D0352,2016-11-13,2016,VC,Third Rock Ventures,Aergen Therapeutics,0.076,VC 2016,0,0
D0393,2016-11-21,2016,VC,GV (Google Ventures),Aerbio GX,0.171,VC 2016,0,0
D0395,2016-11-22,2016,VC,Bain Capital Life Sciences,Jasyot BIO,0.266,VC 2016,0,0
D0358,2016-11-23,2016,IPO,Public markets,Bioxen X,0.211,IPO 2016,0,0
D0362,2016-11-23,2016,VC,Atlas Venture,Aeruni RX,0.203,VC 2016,0,0
D0394,2016-11-26,2016,VC,Third Rock Ventures,Genkym GX,0.139,VC 2016,0,0
D0355,2016-12-03,2016,IPO,Public markets,Lumrep OS,0.124,IPO 2016,0,0
D0374,2016-12-17,2016,VC,ARCH Venture Partners,Replum OS,0.429,VC 2016,0,0
D0397,2016-12-19,2016,M&A,Novartis,Genepi X,0.023,M&A 2016,0,0
D0481,2017-01-02,2017,VC,Third Rock Ventures,Celrep Therapeutics,0.077,VC 2017,0,0
D0442,2017-01-07,2017,M&A,Gilead,Oncaer OS,1.247,M&A 2017,0,0
D0415,2017-01-13,2017,VC,Sofinnova Investments,Haptav AB,0.134,VC 2017,0,0
D0454,2017-01-22,2017,VC,GV (Google Ventures),Tavyot ON,0.13,VC 2017,0,0
D0441,2017-01-25,2017,VC,Third Rock Ventures,Hapvec ON,0.375,VC 2017,0,0
D0409,2017-01-25,2017,Series_B,Versant Ventures,Tavepi ON,0.043,Series_B 2017,0,0
D0453,2017-02-16,2017,VC,F-Prime Capital,Zeopro X,0.05,VC 2017,0,0
D0451,2017-02-21,2017,VC,Flagship Pioneering,Proquo AB,0.11,VC 2017,0,0
D0466,2017-02-21,2017,Series_B,RA Capital,Epibio X,0.067,Series_B 2017,0,0
D0471,2017-02-25,2017,VC,GV (Google Ventures),Celhap RX,0.053,VC 2017,0,0
D0461,2017-02-25,2017,VC,F-Prime Capital,Celrep RX,0.018,VC 2017,0,0
D0478,2017-03-06,2017,Series_C,Polaris Partners,Denquo OS,0.306,Series_C 2017,0,0
D0408,2017-03-08,2017,VC,Versant Ventures,Denneu RX,0.095,VC 2017,0,0
D0474,2017-03-09,2017,VC,Flagship Pioneering,Oncxen BIO,0.082,VC 2017,0,0
D0477,2017-03-12,2017,M&A,J&J,Reponc RX,0.241,M&A 2017,0,0
D0410,2017-03-24,2017,Series_C,Atlas Venture,Immimm GX,0.252,Series_C 2017,0,0
D0420,2017-03-25,2017,Series_B,OrbiMed,Vecquo OS,0.092,Series_B 2017,0,0
D0475,2017-04-05,2017,IPO,Public markets,Aerhap BIO,0.457,IPO 2017,0,0
D0428,2017-04-07,2017,Crossover,a16z Bio,Quolum RX,0.178,Crossover 2017,0,0
D0424,2017-04-07,2017,VC,Bain Capital Life Sciences,Replum X,0.197,VC 2017,0,0
D0479,2017-04-12,2017,Series_B,ARCH Venture Partners,Quopro RX,0.881,Series_B 2017,0,0
D0467,2017-04-14,2017,VC,GV (Google Ventures),Vecaer Therapeutics,0.058,VC 2017,0,0
D0470,2017-04-26,2017,VC,OrbiMed,Genvec ON,0.51,VC 2017,0,0
D0417,2017-04-26,2017,M&A,Pfizer,Epitav Tx,0.023,M&A 2017,0,0
D0445,2017-05-24,2017,Series_C,Sofinnova Investments,Kymuni RX,0.076,Series_C 2017,0,0
D0446,2017-06-02,2017,Series_B,Flagship Pioneering,Xenquo BIO,0.139,Series_B 2017,0,0
D0414,2017-06-04,2017,VC,Polaris Partners,Lumjas IO,0.077,VC 2017,0,0
D0437,2017-06-04,2017,IPO,Public markets,Neuonc OS,0.322,IPO 2017,0,0
D0473,2017-06-05,2017,M&A,Sanofi,Biovec Therapeutics,14.703,M&A 2017,1,0
D0469,2017-06-12,2017,Series_C,Sofinnova Investments,Haponc RX,0.157,Series_C 2017,0,0
D0482,2017-06-14,2017,M&A,Sanofi,Aerxen AB,0.123,M&A 2017,0,0
D0430,2017-06-17,2017,Series_C,Third Rock Ventures,Denvec Therapeutics,0.093,Series_C 2017,0,0
D0452,2017-06-17,2017,IPO,Public markets,Kymsyn Tx,0.352,IPO 2017,0,0
D0440,2017-06-24,2017,IPO,Public markets,Quozeo GX,0.563,IPO 2017,0,0
D0438,2017-07-02,2017,Series_B,Atlas Venture,Immhap Therapeutics,0.092,Series_B 2017,0,0
D0434,2017-07-04,2017,IPO,Public markets,Xenneu RX,0.773,IPO 2017,0,0
D0421,2017-07-07,2017,VC,Flagship Pioneering,Modaer IO,0.052,VC 2017,0,0
D0433,2017-07-19,2017,Series_B,F-Prime Capital,Jasxen Therapeutics,0.062,Series_B 2017,0,0
D0464,2017-07-19,2017,M&A,Sanofi,Celsyn Therapeutics,3.56,M&A 2017,0,0
D0443,2017-08-01,2017,VC,RA Capital,Synaer AB,0.049,VC 2017,0,0
D0449,2017-08-02,2017,VC,Third Rock Ventures,Zeocel IO,0.606,VC 2017,0,0
D0426,2017-08-03,2017,Series_C,ARCH Venture Partners,Uniimm OS,0.237,Series_C 2017,0,0
D0419,2017-08-05,2017,Series_B,Flagship Pioneering,Onczeo AB,0.445,Series_B 2017,0,0
D0460,2017-08-05,2017,IPO,Public markets,Celrep AB,0.681,IPO 2017,0,0
D0439,2017-08-11,2017,M&A,Gilead,Haplum X,2.028,M&A 2017,0,0
D0416,2017-08-16,2017,M&A,Roche,Provec Tx,1.401,M&A 2017,0,0
D0447,2017-08-16,2017,IPO,Public markets,Xensyn Tx,0.942,IPO 2017,0,0
D0472,2017-08-17,2017,Series_C,Bain Capital Life Sciences,Replum AB,0.319,Series_C 2017,0,0
D0411,2017-09-08,2017,M&A,Pfizer,Tavpro BIO,22.064,M&A 2017,1,0
D0436,2017-09-08,2017,VC,RA Capital,Epitav ON,0.056,VC 2017,0,0
D0412,2017-09-14,2017,M&A,AstraZeneca,Jasden IO,2.575,M&A 2017,0,0
D0418,2017-09-15,2017,Crossover,F-Prime Capital,Jasxen OS,0.075,Crossover 2017,0,0
D0476,2017-09-21,2017,VC,Atlas Venture,Unihap IO,0.117,VC 2017,0,0
D0468,2017-09-23,2017,VC,a16z Bio,Denepi AB,0.073,VC 2017,0,0
D0422,2017-09-23,2017,M&A,J&J,Neuaer X,5.508,M&A 2017,0,0
D0455,2017-09-25,2017,M&A,Sanofi,Hapcel GX,3.746,M&A 2017,0,0
D0429,2017-09-27,2017,VC,Versant Ventures,Celuni X,0.018,VC 2017,0,0
D0423,2017-10-06,2017,VC,ARCH Venture Partners,Uniimm Tx,0.052,VC 2017,0,0
D0431,2017-10-10,2017,VC,Bain Capital Life Sciences,Neuquo ON,0.056,VC 2017,0,0
D0450,2017-10-12,2017,IPO,Public markets,Moduni BIO,0.29,IPO 2017,0,0
D0425,2017-10-19,2017,Series_B,Sofinnova Investments,Oncaer AB,0.178,Series_B 2017,0,0
D0448,2017-10-19,2017,VC,F-Prime Capital,Jasepi Therapeutics,0.076,VC 2017,0,0
D0427,2017-10-21,2017,VC,Third Rock Ventures,Biozeo GX,0.428,VC 2017,0,0
D0435,2017-10-25,2017,VC,Versant Ventures,Jasneu X,0.255,VC 2017,0,0
D0465,2017-11-03,2017,VC,Bain Capital Life Sciences,Jaspro RX,0.124,VC 2017,0,0
D0413,2017-11-20,2017,Series_C,GV (Google Ventures),Biogen X,0.284,Series_C 2017,0,0
D0462,2017-11-27,2017,Series_B,Bain Capital Life Sciences,Zeoyot RX,0.186,Series_B 2017,0,0
D0459,2017-12-01,2017,Series_C,OrbiMed,Veczeo Therapeutics,0.199,Series_C 2017,0,0
D0456,2017-12-02,2017,VC,OrbiMed,Aerzeo IO,0.21,VC 2017,0,0
D0432,2017-12-05,2017,IPO,Public markets,Zeoaer ON,0.327,IPO 2017,0,0
D0458,2017-12-08,2017,Series_B,Sofinnova Investments,Celrep AB,0.049,Series_B 2017,0,0
D0444,2017-12-10,2017,IPO,Public markets,Immaer BIO,0.196,IPO 2017,0,0
D0480,2017-12-18,2017,Series_B,OrbiMed,Unigen OS,0.097,Series_B 2017,0,0
D0457,2017-12-19,2017,VC,OrbiMed,Onclum GX,0.039,VC 2017,0,0
D0463,2017-12-22,2017,VC,Sofinnova Investments,Hapjas Tx,0.198,VC 2017,0,0
D0564,2018-01-01,2018,Crossover,OrbiMed,Xenvec X,0.025,Crossover 2018,0,0
D0517,2018-01-06,2018,VC,GV (Google Ventures),Genneu ON,0.479,VC 2018,0,0
D0508,2018-01-10,2018,M&A,J&J,Denden RX,1.805,M&A 2018,0,0
D0551,2018-01-14,2018,Series_B,Bain Capital Life Sciences,Biokym X,0.67,Series_B 2018,0,0
D0522,2018-01-16,2018,VC,Polaris Partners,Xensyn ON,0.41,VC 2018,0,0
D0006,2018-01-22,2018,M&A,Celgene,Juno Therapeutics,9.0,CAR-T acquisition,0,1
D0483,2018-01-22,2018,VC,Bain Capital Life Sciences,Genrep AB,0.389,VC 2018,0,0
D0485,2018-01-23,2018,VC,Polaris Partners,Jascel AB,0.068,VC 2018,0,0
D0504,2018-01-24,2018,Series_B,OrbiMed,Immrep X,0.067,Series_B 2018,0,0
D0015,2018-01-25,2018,IPO,Public markets,ARMO BioSciences,0.13,Cancer immunotherapy IPO,0,1
D0526,2018-01-26,2018,Series_B,Bain Capital Life Sciences,Synonc AB,0.632,Series_B 2018,0,0
D0553,2018-02-02,2018,M&A,Sanofi,Epiden ON,1.207,M&A 2018,0,0
D0554,2018-02-02,2018,M&A,Novartis,Tavtav Tx,0.757,M&A 2018,0,0
D0565,2018-02-03,2018,VC,Polaris Partners,Projas ON,0.443,VC 2018,0,0
D0556,2018-02-07,2018,Series_B,RA Capital,Celaer AB,0.332,Series_B 2018,0,0
D0016,2018-02-08,2018,IPO,Public markets,Solid Biosciences,0.15,DMD gene therapy,0,1
D0505,2018-02-18,2018,VC,Bain Capital Life Sciences,Zeoaer ON,0.135,VC 2018,0,0
D0484,2018-02-19,2018,VC,Atlas Venture,Genonc Therapeutics,0.299,VC 2018,0,0
D0488,2018-02-21,2018,Crossover,ARCH Venture Partners,Modgen Therapeutics,0.068,Crossover 2018,0,0
D0490,2018-03-02,2018,VC,RA Capital,Vecrep RX,0.143,VC 2018,0,0
D0558,2018-03-10,2018,VC,Third Rock Ventures,Hapbio Tx,0.249,VC 2018,0,0
D0520,2018-03-12,2018,VC,Third Rock Ventures,Modbio AB,0.064,VC 2018,0,0
D0538,2018-03-21,2018,IPO,Public markets,Repaer ON,0.981,IPO 2018,0,0
D0540,2018-04-03,2018,Series_C,ARCH Venture Partners,Bioonc Therapeutics,0.039,Series_C 2018,0,0
D0503,2018-04-03,2018,VC,a16z Bio,Repjas RX,0.054,VC 2018,0,0
D0519,2018-04-03,2018,Series_C,Sofinnova Investments,Quoepi X,0.026,Series_C 2018,0,0
D0494,2018-04-03,2018,Series_C,Atlas Venture,Immimm BIO,0.254,Series_C 2018,0,0
D0502,2018-04-04,2018,IPO,Public markets,Repuni AB,0.303,IPO 2018,0,0
D0496,2018-04-06,2018,M&A,Eli Lilly,Genimm ON,0.973,M&A 2018,0,0
D0501,2018-04-14,2018,VC,a16z Bio,Genlum ON,0.101,VC 2018,0,0
D0562,2018-05-01,2018,VC,Atlas Venture,Unixen Therapeutics,0.1,VC 2018,0,0
D0543,2018-05-04,2018,VC,Third Rock Ventures,Repden X,0.047,VC 2018,0,0
D0537,2018-05-11,2018,VC,RA Capital,Aeruni Therapeutics,0.12,VC 2018,0,0
D0514,2018-05-19,2018,IPO,Public markets,Epibio Tx,1.268,IPO 2018,0,0
D0548,2018-05-19,2018,Series_B,Flagship Pioneering,Biokym RX,0.491,Series_B 2018,0,0
D0500,2018-05-19,2018,Series_C,OrbiMed,Genuni AB,0.205,Series_C 2018,0,0
D0552,2018-05-20,2018,Series_B,F-Prime Capital,Zeopro ON,0.032,Series_B 2018,0,0
D0535,2018-05-23,2018,IPO,Public markets,Zeoyot X,0.05,IPO 2018,0,0
D0510,2018-05-26,2018,VC,a16z Bio,Epibio Therapeutics,0.08,VC 2018,0,0
D0544,2018-05-27,2018,Series_B,F-Prime Capital,Modsyn BIO,0.093,Series_B 2018,0,0
D0547,2018-06-21,2018,VC,Polaris Partners,Gengen Therapeutics,0.082,VC 2018,0,0
D0561,2018-06-25,2018,VC,OrbiMed,Repneu IO,0.11,VC 2018,0,0
D0495,2018-07-01,2018,Crossover,a16z Bio,Tavepi X,0.034,Crossover 2018,0,0
D0527,2018-07-04,2018,VC,Atlas Venture,Modgen GX,0.055,VC 2018,0,0
D0539,2018-07-04,2018,M&A,Sanofi,Unikym Tx,0.087,M&A 2018,0,0
D0507,2018-07-11,2018,Crossover,Versant Ventures,Modbio AB,0.024,Crossover 2018,0,0
D0530,2018-07-14,2018,VC,Flagship Pioneering,Tavquo Tx,0.482,VC 2018,0,0
D0546,2018-07-15,2018,VC,OrbiMed,Zeoquo GX,0.171,VC 2018,0,0
D0528,2018-07-17,2018,Series_B,OrbiMed,Immneu GX,0.032,Series_B 2018,0,0
D0532,2018-07-18,2018,Series_B,RA Capital,Xenlum ON,0.065,Series_B 2018,0,0
D0536,2018-07-19,2018,Series_C,Sofinnova Investments,Modhap BIO,0.124,Series_C 2018,0,0
D0489,2018-07-23,2018,VC,GV (Google Ventures),Prosyn ON,0.26,VC 2018,0,0
D0560,2018-07-27,2018,VC,Sofinnova Investments,Jasxen OS,0.047,VC 2018,0,0
D0493,2018-08-02,2018,Series_C,RA Capital,Xencel BIO,0.068,Series_C 2018,0,0
D0557,2018-08-11,2018,IPO,Public markets,Aerpro Therapeutics,0.253,IPO 2018,0,0
D0563,2018-08-12,2018,Series_B,Third Rock Ventures,Lumimm AB,0.186,Series_B 2018,0,0
D0566,2018-08-17,2018,Series_B,RA Capital,Biomod Therapeutics,0.097,Series_B 2018,0,0
D0525,2018-08-18,2018,Series_C,F-Prime Capital,Denhap RX,0.229,Series_C 2018,0,0
D0486,2018-08-18,2018,M&A,Sanofi,Yotjas OS,0.251,M&A 2018,0,0
D0492,2018-08-19,2018,Crossover,Bain Capital Life Sciences,Genzeo BIO,0.085,Crossover 2018,0,0
D0559,2018-08-20,2018,IPO,Public markets,Genjas AB,0.398,IPO 2018,0,0
D0521,2018-08-20,2018,VC,F-Prime Capital,Zeouni BIO,0.072,VC 2018,0,0
D0531,2018-08-22,2018,M&A,GSK,Tavgen AB,4.544,M&A 2018,0,0
D0509,2018-08-24,2018,Series_C,Flagship Pioneering,Neuyot BIO,0.342,Series_C 2018,0,0
D0542,2018-08-27,2018,Crossover,Polaris Partners,Quoepi OS,0.166,Crossover 2018,0,0
D0523,2018-09-04,2018,VC,Third Rock Ventures,Oncyot X,0.061,VC 2018,0,0
D0515,2018-09-06,2018,VC,Sofinnova Investments,Oncjas AB,0.233,VC 2018,0,0
D0491,2018-09-10,2018,VC,Bain Capital Life Sciences,Immyot OS,0.608,VC 2018,0,0
D0513,2018-09-11,2018,IPO,Public markets,Provec Tx,0.241,IPO 2018,0,0
D0524,2018-09-13,2018,VC,RA Capital,Jasden GX,0.212,VC 2018,0,0
D0487,2018-09-15,2018,Series_B,Polaris Partners,Tavgen Therapeutics,1.121,Series_B 2018,0,0
D0498,2018-09-17,2018,Crossover,Polaris Partners,Lumsyn GX,0.24,Crossover 2018,0,0
D0545,2018-09-19,2018,IPO,Public markets,Immbio AB,0.317,IPO 2018,0,0
D0555,2018-09-26,2018,VC,OrbiMed,Denneu AB,0.103,VC 2018,0,0
D0499,2018-10-24,2018,M&A,GSK,Synpro IO,0.409,M&A 2018,0,0
D0506,2018-11-01,2018,Series_C,a16z Bio,Kymonc X,0.265,Series_C 2018,0,0
D0512,2018-11-06,2018,M&A,Amgen,Xenden AB,7.994,M&A 2018,0,0
D0497,2018-11-17,2018,Series_B,F-Prime Capital,Quozeo GX,0.066,Series_B 2018,0,0
D0534,2018-11-18,2018,IPO,Public markets,Epipro X,1.551,IPO 2018,0,0
D0549,2018-11-23,2018,M&A,J&J,Yotzeo OS,0.033,M&A 2018,0,0
D0511,2018-11-26,2018,Series_B,Third Rock Ventures,Yotmod X,0.15,Series_B 2018,0,0
D0567,2018-12-01,2018,VC,a16z Bio,Veconc AB,0.126,VC 2018,0,0
D0516,2018-12-06,2018,Crossover,Sofinnova Investments,Genzeo X,0.623,Crossover 2018,0,0
D0541,2018-12-08,2018,Series_B,Bain Capital Life Sciences,Unibio Tx,0.072,Series_B 2018,0,0
D0529,2018-12-11,2018,M&A,AstraZeneca,Repsyn Therapeutics,1.653,M&A 2018,0,0
D0518,2018-12-11,2018,IPO,Public markets,Biouni RX,0.668,IPO 2018,0,0
D0533,2018-12-11,2018,VC,Sofinnova Investments,Yotden Therapeutics,0.225,VC 2018,0,0
D0550,2018-12-23,2018,Series_B,GV (Google Ventures),Synzeo IO,0.263,Series_B 2018,0,0
D0594,2019-01-02,2019,M&A,Pfizer,Yotuni IO,2.745,M&A 2019,0,0
D0007,2019-01-03,2019,M&A,BMS,Celgene,74.0,Largest pharma M&A 2019,1,1
D0600,2019-01-05,2019,VC,GV (Google Ventures),Zeoneu AB,0.226,VC 2019,0,0
D0626,2019-01-08,2019,M&A,J&J,Denrep BIO,0.254,M&A 2019,0,0
D0604,2019-01-09,2019,Series_C,F-Prime Capital,Celuni IO,0.116,Series_C 2019,0,0
D0602,2019-01-17,2019,Series_B,Third Rock Ventures,Modden X,0.187,Series_B 2019,0,0
D0593,2019-01-19,2019,M&A,Sanofi,Veccel BIO,0.736,M&A 2019,0,0
D0574,2019-02-01,2019,Series_B,Polaris Partners,Unirep Therapeutics,0.055,Series_B 2019,0,0
D0616,2019-02-07,2019,IPO,Public markets,Lumgen IO,0.151,IPO 2019,0,0
D0623,2019-02-07,2019,M&A,AstraZeneca,Celuni Tx,0.843,M&A 2019,0,0
D0617,2019-02-19,2019,M&A,AbbVie,Repyot OS,0.186,M&A 2019,0,0
D0621,2019-03-19,2019,Series_B,RA Capital,Modsyn GX,0.448,Series_B 2019,0,0
D0585,2019-03-27,2019,Series_C,RA Capital,Zeoonc GX,0.021,Series_C 2019,0,0
D0614,2019-04-01,2019,VC,OrbiMed,Aerquo ON,0.095,VC 2019,0,0
D0635,2019-04-18,2019,IPO,Public markets,Proyot Therapeutics,0.434,IPO 2019,0,0
D0613,2019-05-01,2019,Series_B,GV (Google Ventures),Oncgen ON,0.1,Series_B 2019,0,0
D0624,2019-05-02,2019,VC,Sofinnova Investments,Denpro GX,0.096,VC 2019,0,0
D0611,2019-05-08,2019,M&A,Eli Lilly,Immpro ON,1.47,M&A 2019,0,0
D0578,2019-05-08,2019,Series_B,Versant Ventures,Epiyot IO,0.017,Series_B 2019,0,0
